name,label,ccc,p_log,replicates,Method,Draw,ccc_hat,selected_lambda,time
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,gof,r1.2,3231,0,10.538313364982605
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,gof,r1.3,3206,20,10.417572061220804
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,gof,r1.4,2976,0,10.34514679114024
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,mle_no_pen,r1.1,2976,NA,1.0107769250869751
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,mle_no_pen,r1.2,3231,NA,57.043901443481445
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,mle_no_pen,r1.3,3206,NA,59.46234846115112
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,mle_no_pen,r1.4,2976,NA,59.54662537574768
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.1,1471,10,2.6708227515220644
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.2,1477,0,2.7453187346458434
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,gof,r1.3,1345,0,2.6690932432810466
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_6,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 6)",1000,0.9937285,6,mle_no_pen,r1.1,1471,NA,14.186104774475098
