name,label,ccc,p_log,replicates,Method,Draw,ccc_hat,selected_lambda,time
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,mle_no_pen,r1.1,2996,NA,57.52627229690552
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,mle_no_pen,r1.2,2958,NA,57.414491415023804
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,mle_no_pen,r1.3,3258,NA,57.71416711807251
logarithmic_fct-list/ccc_2000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 2000, prob = 0.995, replicates = 30)",2000,0.995,30,mle_no_pen,r1.4,2951,NA,57.99698352813721
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,gof,r1.1,1489,0,12.301319217681884
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,gof,r1.2,1520,15,11.848696414629618
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,gof,r1.3,1648,0,9.482190597057343
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,gof,r1.4,1505,0,6.965339652697245
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,mle_no_pen,r1.1,1489,NA,1.1031073371569315
logarithmic_fct-list/ccc_1000/p_log_0.995/replicates_30,"Logarithmic draws from true C = 1000, prob = 0.995, replicates = 30)",1000,0.995,30,mle_no_pen,r1.2,1520,NA,1.1368810455004374
