method,ccc,alpha,delta,r,ccc_hat,absolute_error,alpha_hat,delta_hat,selected_lambda,time,sim_subset,draw,id,eta,alpha_delta_r
[4] CV GOF,1e3,0.1,0.1,14,1135.2,135.20000000000005,0.08743855361480671,0.10115633959980994,0,8800.645000000004,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[4] CV GOF,1e3,0.1,0.1,14,1151.7,151.70000000000005,0.08226719847168615,0.09330980782012868,0,9174.122000000003,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[4] CV GOF,1e3,0.1,0.1,14,2876.9,1876.9,0.0405821688892157,0.09190872321164746,0,8980.571999999986,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[4] CV GOF,1e3,0.1,0.1,14,857.3,142.70000000000005,0.12641745865765786,0.10536164863821916,0,9744.062000000005,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[0] MLE,1e3,0.01,1e-5,6,1300,300,0.007323716640601717,8.326069086390549e-6,NA,60.84300000000002,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[0] MLE,1e3,0.01,1e-5,6,1300,300,0.008024752669374352,1.3204444490151404e-5,NA,60.91199999999998,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[0] MLE,1e3,0.01,1e-5,6,426,574,0.025680736531254633,1.0864578360616804e-5,NA,59.54599999999999,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[0] MLE,1e3,0.01,1e-5,6,1472,472,0.006524484919295135,9.025403611202254e-6,NA,59.09899999999993,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[0] MLE,1e3,0.01,1e-5,6,1386,386,0.006503463661853675,8.312024099261133e-6,NA,55.629999999999995,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[1] Min Var,1e3,0.01,1e-5,6,173.05,826.95,0.11366661153416822,7.276057338048386e-6,35,9747.508000000002,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[1] Min Var,1e3,0.01,1e-5,6,271.1,728.9,0.06329810844667931,1.0991581960383606e-5,60,10238.213000000003,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[1] Min Var,1e3,0.01,1e-5,6,241.1,758.9,0.12158675321436427,1.0487681246246053e-5,60,9685.269999999997,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[1] Min Var,1e3,0.01,1e-5,6,153.7,846.3,0.14257578062702198,8.631981924470372e-6,55,9914.142000000007,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[1] Min Var,1e3,0.01,1e-5,6,185.35,814.65,0.13203492762012983,9.887087070215282e-6,60,9380.05799999999,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[2] CV likelihood,1e3,0.01,1e-5,6,1382.5,382.5,0.0070064987042037594,8.663545798115726e-6,0,5063.645,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[2] CV likelihood,1e3,0.01,1e-5,6,1305.9,305.9000000000001,0.008121145822551613,1.1619278486008153e-5,0,5255.655999999999,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[2] CV likelihood,1e3,0.01,1e-5,6,1543.7,543.7,0.006351516922178732,9.922368758222967e-6,0,5070.2119999999995,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[2] CV likelihood,1e3,0.01,1e-5,6,1336.7,336.70000000000005,0.007134010812870818,8.794170118130704e-6,0,5116.155999999995,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[2] CV likelihood,1e3,0.01,1e-5,6,997.9,2.1000000000000227,0.012153925172967383,9.276741023487898e-6,10,4833.332000000002,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[3] GOF,1e3,0.01,1e-5,6,140,860,0.13176515622310514,9.075261927608162e-6,60,1284.4399999999996,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[3] GOF,1e3,0.01,1e-5,6,182,818,0.08471220148623035,1.0160362011997811e-5,55,1337.4579999999996,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[3] GOF,1e3,0.01,1e-5,6,157,843,0.09913510288063006,9.452383488128655e-6,40,1258.1800000000003,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[3] GOF,1e3,0.01,1e-5,6,161,839,0.1036911520610075,8.82556175476545e-6,30,1307.566999999999,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[3] GOF,1e3,0.01,1e-5,6,154,846,0.09710113075453203,7.710108317585279e-6,60,1233.8780000000006,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[4] CV GOF,1e3,0.01,1e-5,6,262.1,737.9,0.09360926580335673,7.734395239241486e-6,60,5039.219000000001,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[4] CV GOF,1e3,0.01,1e-5,6,386.3,613.7,0.05722024487864555,9.496318365303143e-6,30,5172.432000000001,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[4] CV GOF,1e3,0.01,1e-5,6,193.2,806.8,0.11319012125727526,7.954423668241596e-6,50,4965.0740000000005,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[4] CV GOF,1e3,0.01,1e-5,6,185.6,814.4,0.12336106685135682,8.11136526092736e-6,50,5091.531999999999,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[4] CV GOF,1e3,0.01,1e-5,6,179.2,820.8,0.08205455878030336,7.716742086135268e-6,30,4534.684000000001,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),6)"
[0] MLE,1e3,0.01,1e-5,10,1265,265,0.007775391445544404,9.860335848033453e-6,NA,94.93200000000002,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[0] MLE,1e3,0.01,1e-5,10,1534,534,0.006322936064743889,9.566299250321757e-6,NA,97.44100000000003,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[0] MLE,1e3,0.01,1e-5,10,1702,702,0.005397848565360139,8.91220657924202e-6,NA,89.83400000000006,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[0] MLE,1e3,0.01,1e-5,10,1562,562,0.006363181124569932,8.168424852159928e-6,NA,97.4849999999999,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[0] MLE,1e3,0.01,1e-5,10,1689,689,0.005518345773375169,9.6107348147368e-6,NA,94.106,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[1] Min Var,1e3,0.01,1e-5,10,168.55,831.45,0.09778059905071305,9.619154115553627e-6,60,14707.265000000014,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[1] Min Var,1e3,0.01,1e-5,10,172.75,827.25,0.0941739811818611,1.021341175370499e-5,60,14938.26000000001,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[1] Min Var,1e3,0.01,1e-5,10,167.8,832.2,0.09288315414428316,8.211303694585438e-6,55,14162.205000000016,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[1] Min Var,1e3,0.01,1e-5,10,175.85,824.15,0.0945293341690237,7.179283556296394e-6,60,14894.29700000002,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[1] Min Var,1e3,0.01,1e-5,10,178.55,821.45,0.08353734558461014,8.818060280554316e-6,60,14220.956999999995,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[2] CV likelihood,1e3,0.01,1e-5,10,1254.5,254.5,0.009266835561634386,9.023752058616659e-6,0,7504.8810000000085,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[2] CV likelihood,1e3,0.01,1e-5,10,1201.1,201.0999999999999,0.011688568108150901,9.586209151393554e-6,0,7976.706000000006,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[2] CV likelihood,1e3,0.01,1e-5,10,1270.1,270.0999999999999,0.01017725192418583,9.188365302855235e-6,5,7366.216,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[2] CV likelihood,1e3,0.01,1e-5,10,1203.5,203.5,0.012675431924301657,8.189725695480717e-6,0,7753.77399999999,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[2] CV likelihood,1e3,0.01,1e-5,10,1748.9,748.9000000000001,0.005416721906759311,9.392102477866785e-6,5,7171.3110000000015,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[3] GOF,1e3,0.01,1e-5,10,199,801,0.06735409556737738,7.642121985249576e-6,40,1984.6719999999987,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[3] GOF,1e3,0.01,1e-5,10,182,818,0.07474258122416905,8.192688329300346e-6,40,2057.142,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[3] GOF,1e3,0.01,1e-5,10,184,816,0.07286056116473759,7.3864168584612485e-6,60,1900.5550000000003,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[3] GOF,1e3,0.01,1e-5,10,196,804,0.07544415859883735,6.937136743913752e-6,50,2027.768,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[3] GOF,1e3,0.01,1e-5,10,656,344,0.014885006357910846,7.774605742814126e-6,60,1934.0699999999997,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[4] CV GOF,1e3,0.01,1e-5,10,170.1,829.9,0.0941781815557583,7.499235886511774e-6,60,6896.774999999994,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[4] CV GOF,1e3,0.01,1e-5,10,172.5,827.5,0.09493116941125739,9.276977825467797e-6,60,7261.422999999995,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[4] CV GOF,1e3,0.01,1e-5,10,168,832,0.09006214366970444,8.166686159831764e-6,45,6754.734000000011,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[4] CV GOF,1e3,0.01,1e-5,10,172.6,827.4,0.09799759766448343,6.789586831179184e-6,60,7155.240000000005,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[4] CV GOF,1e3,0.01,1e-5,10,183.9,816.1,0.07903098914504066,8.741636979491082e-6,60,6819.5199999999895,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),10)"
[0] MLE,1e3,0.01,1e-5,14,1300,300,0.007616316219974347,1.0214670934044639e-5,NA,130.78099999999995,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[0] MLE,1e3,0.01,1e-5,14,1219,219,0.007702710453591018,8.38036281912787e-6,NA,129.8789999999999,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[0] MLE,1e3,0.01,1e-5,14,1782,782,0.005429190394892353,8.942063068278715e-6,NA,138.64999999999964,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[0] MLE,1e3,0.01,1e-5,14,1739,739,0.0053993557449140495,8.97586537904699e-6,NA,131.04700000000003,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[0] MLE,1e3,0.01,1e-5,14,1729,729,0.005606877432141147,1.0356687780354236e-5,NA,133.2909999999997,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[1] Min Var,1e3,0.01,1e-5,14,232,768,0.07761488846046517,9.632795366001827e-6,55,20163.505000000005,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[1] Min Var,1e3,0.01,1e-5,14,146.35,853.65,0.11239198383205498,1.0384594943036918e-5,50,19600.54800000001,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[1] Min Var,1e3,0.01,1e-5,14,192.15,807.85,0.09491808913137119,9.192988690711193e-6,60,19813.406000000017,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[1] Min Var,1e3,0.01,1e-5,14,238.05,761.95,0.07569176012126327,9.377759683886698e-6,60,18089.870999999985,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[1] Min Var,1e3,0.01,1e-5,14,191.95,808.05,0.08237148915208457,1.0377667863063561e-5,60,18190.21100000001,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[2] CV likelihood,1e3,0.01,1e-5,14,1381.7,381.70000000000005,0.009613808682871825,1.031636464345587e-5,0,10452.661999999982,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[2] CV likelihood,1e3,0.01,1e-5,14,1002.9,2.8999999999999773,0.017439163927554027,8.196097758618567e-6,5,10078.24900000001,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[2] CV likelihood,1e3,0.01,1e-5,14,1582.4,582.4000000000001,0.006439411800558862,8.711131275550562e-6,0,10058.791999999987,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[2] CV likelihood,1e3,0.01,1e-5,14,1916.4,916.4000000000001,0.0049759518455786585,8.91786085878728e-6,0,9663.219000000012,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[2] CV likelihood,1e3,0.01,1e-5,14,2068.5,1068.5,0.004738320312383731,1.0374271320849434e-5,0,9742.285999999993,1,5,5,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[3] GOF,1e3,0.01,1e-5,14,208,792,0.0643366510150417,8.226806311311835e-6,60,2801.105000000003,1,1,1,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[3] GOF,1e3,0.01,1e-5,14,345,655,0.029772909940207665,6.807329097857241e-6,60,2639.2549999999974,1,2,2,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[3] GOF,1e3,0.01,1e-5,14,391,609,0.028306471010987988,6.9110359888302245e-6,55,2789.3300000000017,1,3,3,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
[3] GOF,1e3,0.01,1e-5,14,1260,260,0.007558019972802993,8.914425524287491e-6,40,2741.402000000002,1,4,4,"(1e-02, 1e-05)","((1e-02, 1e-05),14)"
