method,ccc,alpha,delta,r,ccc_hat,absolute_error,alpha_hat,delta_hat,selected_lambda,time,sim_subset,draw,id,eta,alpha_delta_r
[0] MLE,1e3,0.1,0.1,6,806,194,0.12275451252290454,0.10908897821139907,NA,54.196999999999996,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[0] MLE,1e3,0.1,0.1,6,1045,45,0.09291717777009534,0.09599763397381463,NA,56.629,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[0] MLE,1e3,0.1,0.1,6,1505,505,0.06098586173169153,0.09654302073785477,NA,52.391999999999996,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[0] MLE,1e3,0.1,0.1,6,1222,222,0.07705995495099778,0.09279353054780158,NA,57.41499999999999,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[0] MLE,1e3,0.1,0.1,6,933,67,0.09758055872643834,0.0931421551369786,NA,52.992999999999995,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[1] Min Var,1e3,0.1,0.1,6,296.85,703.15,0.6152805903377307,0.19178429486017767,45,8839.466999999999,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[1] Min Var,1e3,0.1,0.1,6,298.95,701.05,0.6935685401703654,0.18889225105021962,60,8755.116999999998,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[1] Min Var,1e3,0.1,0.1,6,300.55,699.45,0.6394338449216677,0.19008418672380614,55,8583.092999999997,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[1] Min Var,1e3,0.1,0.1,6,313.7,686.3,0.5860191936356313,0.17144416394200912,50,8916.892,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[1] Min Var,1e3,0.1,0.1,6,292.4,707.6,0.5894098503728916,0.1677617756045449,45,8495.413,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[2] CV likelihood,1e3,0.1,0.1,6,823.2,176.79999999999995,0.129317664011792,0.11486825459910734,0,4620.586,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[2] CV likelihood,1e3,0.1,0.1,6,1138.4,138.4000000000001,0.1265860076587196,0.10235605981891527,0,4555.054999999999,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[2] CV likelihood,1e3,0.1,0.1,6,2238.4,1238.4,0.054723390190799824,0.09429476237210863,0,4397.9259999999995,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[2] CV likelihood,1e3,0.1,0.1,6,1448.6,448.5999999999999,0.07068723678401602,0.09084956573720811,0,4628.871000000001,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[2] CV likelihood,1e3,0.1,0.1,6,1050.9,50.90000000000009,0.10027865080584884,0.0939001180186581,0,4389.786,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[3] GOF,1e3,0.1,0.1,6,806,194,0.12275451252316759,0.10908897821153388,0,1225.967,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[3] GOF,1e3,0.1,0.1,6,1045,45,0.09291771518905244,0.09599663944357884,0,1257.7649999999999,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[3] GOF,1e3,0.1,0.1,6,1505,505,0.06098586173257747,0.09654302074329711,0,1193.045,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[3] GOF,1e3,0.1,0.1,6,1222,222,0.0770599549524918,0.09279353054917303,0,1278.4789999999998,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[3] GOF,1e3,0.1,0.1,6,933,67,0.09758055872642908,0.0931421551369584,0,1189.9710000000005,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[4] CV GOF,1e3,0.1,0.1,6,823.2,176.79999999999995,0.129317664011792,0.11486825459910734,0,4619.536999999999,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[4] CV GOF,1e3,0.1,0.1,6,1138.4,138.4000000000001,0.1265860076587196,0.10235605981891527,0,4521.471999999999,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[4] CV GOF,1e3,0.1,0.1,6,2238.4,1238.4,0.054723390190799824,0.09429476237210863,0,4380.867999999999,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[4] CV GOF,1e3,0.1,0.1,6,1448.6,448.5999999999999,0.07068723678401602,0.09084956573720811,0,4578.558000000001,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[4] CV GOF,1e3,0.1,0.1,6,1050.9,50.90000000000009,0.10027865080584884,0.0939001180186581,0,4365.848000000002,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),6)"
[0] MLE,1e3,0.1,0.1,10,818,182,0.12396870181459373,0.10647881474060113,NA,96.12900000000002,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[0] MLE,1e3,0.1,0.1,10,1880,880,0.047626367864228435,0.09046366434201225,NA,92.36699999999996,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[0] MLE,1e3,0.1,0.1,10,980,20,0.09392558146954887,0.09444014272984286,NA,83.86199999999997,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[0] MLE,1e3,0.1,0.1,10,1340,340,0.0690638822635167,0.09157355829866944,NA,86.04700000000003,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[0] MLE,1e3,0.1,0.1,10,1194,194,0.08133644150060566,0.10263524447078257,NA,83.83100000000002,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[1] Min Var,1e3,0.1,0.1,10,357.9,642.1,0.4336276522583248,0.15817060666348534,50,13787.214000000007,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[1] Min Var,1e3,0.1,0.1,10,388.25,611.75,0.3810336199733692,0.14372457579257114,60,13334.491999999998,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[1] Min Var,1e3,0.1,0.1,10,345.95,654.05,0.4261887801937721,0.14627662413680323,55,13103.516000000003,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[1] Min Var,1e3,0.1,0.1,10,379.3,620.7,0.39404549141538053,0.14285518332013808,60,13773.669000000024,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[1] Min Var,1e3,0.1,0.1,10,363.55,636.45,0.442547541189672,0.1638478023735804,60,13333.198000000004,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[2] CV likelihood,1e3,0.1,0.1,10,869.4,130.60000000000002,0.11843856615215329,0.10314569345772372,0,7041.161999999997,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[2] CV likelihood,1e3,0.1,0.1,10,2356.8,1356.8000000000002,0.05233581136625848,0.09250433955311785,0,7062.987000000001,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[2] CV likelihood,1e3,0.1,0.1,10,982.6,17.399999999999977,0.09681782441677864,0.092244540354262,0,6741.723999999995,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[2] CV likelihood,1e3,0.1,0.1,10,1738.8,738.8,0.06459896214259579,0.09012126813296673,0,7111.555000000008,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[2] CV likelihood,1e3,0.1,0.1,10,1218.2,218.20000000000005,0.08834797412755707,0.10108672897763285,0,6904.644,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[3] GOF,1e3,0.1,0.1,10,818,182,0.12396870180667048,0.10647881473713904,0,2011.0290000000005,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[3] GOF,1e3,0.1,0.1,10,1880,880,0.04762636786407186,0.09046366434166417,0,1937.8439999999973,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[3] GOF,1e3,0.1,0.1,10,980,20,0.0939255814695043,0.0944401427297794,0,1788.7880000000005,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[3] GOF,1e3,0.1,0.1,10,1340,340,0.06906388226350857,0.09157355829864025,0,1916.291000000001,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[3] GOF,1e3,0.1,0.1,10,1194,194,0.08133644150048747,0.10263524447046489,0,1880.9750000000022,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[4] CV GOF,1e3,0.1,0.1,10,869.4,130.60000000000002,0.11843856615215329,0.10314569345772372,0,6454.4619999999995,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[4] CV GOF,1e3,0.1,0.1,10,2356.8,1356.8000000000002,0.05233581136625848,0.09250433955311785,0,6458.534,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[4] CV GOF,1e3,0.1,0.1,10,982.6,17.399999999999977,0.09681782441677864,0.092244540354262,0,6148.536,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[4] CV GOF,1e3,0.1,0.1,10,1738.8,738.8,0.06459896214259579,0.09012126813296673,0,6450.202999999994,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[4] CV GOF,1e3,0.1,0.1,10,1218.2,218.20000000000005,0.08834797412755707,0.10108672897763285,0,6237.903999999995,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),10)"
[0] MLE,1e3,0.1,0.1,14,1090,90,0.08574387620930586,0.09654714068430936,NA,126.77800000000002,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[0] MLE,1e3,0.1,0.1,14,1128,128,0.08534387277025737,0.09991267804231502,NA,126.10099999999989,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[0] MLE,1e3,0.1,0.1,14,1202,202,0.07663054285833587,0.0913213642080288,NA,122.12400000000002,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[0] MLE,1e3,0.1,0.1,14,1878,878,0.04836734040385135,0.09173982522869459,NA,115.7990000000002,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[0] MLE,1e3,0.1,0.1,14,843,157,0.1251172524807506,0.10696809588136756,NA,133.9849999999999,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[1] Min Var,1e3,0.1,0.1,14,406.9,593.1,0.3379112473021952,0.13740708682241165,60,18281.598999999987,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[1] Min Var,1e3,0.1,0.1,14,417.9,582.1,0.3324544976387263,0.14094866880829898,60,18612.219999999972,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[1] Min Var,1e3,0.1,0.1,14,415.7,584.3,0.3231314940517991,0.13000424249959566,60,18628.445000000007,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[1] Min Var,1e3,0.1,0.1,14,463.45,536.55,0.28853035145658884,0.1310191085819012,60,17897.661000000022,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[1] Min Var,1e3,0.1,0.1,14,413.35,586.65,0.3550011773731682,0.14565425157592773,55,19381.640000000014,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[2] CV likelihood,1e3,0.1,0.1,14,1002.7,2.7000000000000455,0.10487240614851046,0.09950304867675155,0,9037.020000000004,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[2] CV likelihood,1e3,0.1,0.1,14,1135.2,135.20000000000005,0.08743855361480671,0.10115633959980994,0,8884.56200000002,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[2] CV likelihood,1e3,0.1,0.1,14,1151.7,151.70000000000005,0.08226719847168615,0.09330980782012868,0,9356.706000000006,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[2] CV likelihood,1e3,0.1,0.1,14,2876.9,1876.9,0.0405821688892157,0.09190872321164746,0,9204.270000000019,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[2] CV likelihood,1e3,0.1,0.1,14,857.3,142.70000000000005,0.12641745865765786,0.10536164863821916,0,9895.141000000003,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[3] GOF,1e3,0.1,0.1,14,1090,90,0.08574387620930031,0.09654714068430105,0,2595.8170000000027,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[3] GOF,1e3,0.1,0.1,14,1128,128,0.08534387277316192,0.09991267804374511,0,2686.8309999999983,1,2,2,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[3] GOF,1e3,0.1,0.1,14,1202,202,0.07663054285861828,0.09132136420831903,0,2573.7350000000006,1,3,3,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[3] GOF,1e3,0.1,0.1,14,1878,878,0.048367106534553596,0.09174576329246341,0,2531.226999999999,1,4,4,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[3] GOF,1e3,0.1,0.1,14,843,157,0.12511725257425227,0.10696809584525324,0,2753.0380000000005,1,5,5,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
[4] CV GOF,1e3,0.1,0.1,14,1002.7,2.7000000000000455,0.10487240614851046,0.09950304867675155,0,8673.819000000003,1,1,1,"(1e-01, 1e-01)","((1e-01, 1e-01),14)"
