Nodes	12.07.2006.2b	02.07.2008	12.07.2009.1b	08.08.2009.2b	22.08.2009.1	12.09.2006.2b	05.07.2011.2	17.10.2012.2	18.08.2008.2d	25.07.2009.b	14.08.2012.1	02.09.2009.2	04.08.2008.4b	02.06.2008	15.07.2008	16.06.10.1	12.07.2006.1b	19.10.10.2	17.09.2012.2	24.04.12.1	16.06.10.2	25.07.06.1	27.08.13.2	16.09.10.1	27.10.08.2	15.08.2006.1a	23.10.13.2	26.09.2006.1b	12.10.11.2	01.06.08.1	23.09.2009.1	05.07.10.1	27.08.13.1	19.09.07.2	10.08.10.1	17.09.13.2	16.09.09.2	12.10.11.1	27.10.08.1	03.07.13.1	12.06.11.1	12.07.10.2	19.07.11.1	17.09.13.1	22.08.10.1	12.07.10.1	16.09.10.2	23.08.11.2	29.08.08.2	23.09.2009.2	15.05.11.1	23.08.11.1	07.06.12.2	05.05.10.1	05.05.10.2	26.09.07.2	12.09.11.1	23.10.13.1	05.06.13.2	07.06.12.1	16.08.13.2	06.07.07.2	05.06.13.1	29.08.08.1	16.08.13.1	10.08.10.2	22.08.07.2	05.09.06.1	02.08.07.1	27.06.06.1	07.10.08.6b	10.10.07.1	22.08.06.1	05.09.07.2	12.09.11.2	27.06.06.2	19.10.10.1	26.09.07.1	09.05.07.1	22.08.07.1	16.10.2006.2b	19.09.07.1	02.08.07.2	04.08.2008.2b	22.08.2009.p1	02.09.09.1	21.06.2011.2	15.10.09.p2	03.09.08.2b	25.06.2008.a	26.07.10.1	06.07.07.1	09.08.11.1	20.07.2012.2	29.07.2009.2d	13.06.2006.2c	19.07.11.2	20.05.2009.1	16.09.09.1	07.10.2008.5b	22.05.08.1	15.08.2006.2a	15.10.2009.1	29.08.07.2	09.08.11.2	17.09.2008.3b	21.06.2011.1	15.07.2008.2	02.08.2006.1b	19.06.2009.1	01.06.2008	18.08.2008.4d	08.07.2009.2	03.07.13.2	08.08.2009.p2	12.09.2006.1a	05.09.06.2	09.05.07.2	22.08.06.2	17.10.2012.1	20.05.2009.2	25.06.2008.b	05.09.07.1	13.06.2006.1c	28.07.2008.3d	08.07.2009.1	12.07.2009.2b	25.07.2009.p2	14.08.2012.2	20.07.2012.1	10.10.06.1	19.06.2009.2	05.07.2011.1	17.09.2008.1d	02.08.2006.2b	taxa
258	0	0	0	0	0	2	0	3	0	0	0	0	1	0	0	5	1	70	1	17	3	4	5	9	21	2	11	1	15	5	1	11	9	33	3	4	0	20	19	11	67	1	14	2	3	1	16	2	15	0	25	1	12	77	27	14	24	10	22	7	15	9	55	7	27	5	23	4	11	6	1	23	2	14	19	9	92	21	32	5	3	50	5	0	1	7	11	4	4	13	3	6	1	0	0	9	5	30	2	0	33	5	3	7	0	0	4	0	0	7	4	1	6	23	1	5	19	60	16	5	29	6	22	19	1	5	4	7	0	0	64	6	51	14	10	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__"
261	0	0	0	0	3	0	0	5	1	0	78	6	0	0	0	0	0	8	113	0	0	0	42	10	0	0	2	2	5	0	1	0	65	4	6	3	34	6	0	0	0	0	6	4	116	1	33	49	0	5	0	75	0	0	0	8	25	1	2	1	45	0	0	0	184	27	2	0	0	0	20	8	1	6	38	0	17	26	0	1	1	10	0	2	17	24	0	1	16	0	2	0	21	1	0	0	49	0	36	42	0	1	1	0	22	6	1	0	0	1	0	4	0	2	1	1	0	0	0	9	0	0	7	0	2	0	0	0	963	5	18	0	0	4	1	"k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Candidatus Xiphinematobacter; s__"
270	1	6	0	1	0	1	2	0	6	0	4	9	0	0	2	0	14	0	16	0	0	0	5	2	20	0	1	3	12	0	1	0	2	39	0	1	22	8	10	0	0	0	26	2	1	10	13	27	2	4	0	34	0	0	0	83	16	3	0	0	13	29	0	2	34	4	40	5	12	176	7	117	3	16	15	116	0	54	0	8	0	32	33	10	3	4	40	5	3	7	1	13	0	0	1	0	31	0	12	33	0	0	1	4	0	130	138	20	0	1	0	21	4	2	0	10	9	0	1	0	37	46	11	1	0	3	2	10	13	179	1	2	64	91	11	"k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__R4-41B; g__; s__"
272	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	50	0	0	17	38	0	0	0	2	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	41	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	27	0	65	0	2	24	0	0	0	0	0	0	0	0	138	25	0	0	0	0	0	0	84	0	1	0	1	0	58	0	1	0	0	0	0	0	0	0	0	0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__HTCC2188; g__HTCC; s__"
288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	32	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	5	0	0	0	0	7	0	0	0	1	0	0	0	1	8	0	0	0	7	0	0	77	0	90	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	1	25	0	0	0	1	0	0	0	6	491	6	0	0	16	56	0	0	0	0	7	15	1	0	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__; s__"
290	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	1	1	0	0	0	57	0	0	0	14	0	0	0	0	0	0	2	0	0	2	0	0	4	3	0	69	1	0	0	0	15	0	11	3	2	0	0	27	1	0	0	1	0	5	0	4	30	0	0	0	2	5	0	38	0	56	0	0	0	14	0	0	0	6	0	0	0	0	0	28	1	0	0	3	0	9	5	0	0	1	3	0	0	0	30	101	65	55	1	30	10	0	0	1	0	30	18	35	1	"k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__; s__"
291	0	0	0	0	0	5	0	0	7	0	1	1	0	0	0	0	14	1	12	0	0	0	4	0	0	0	0	4	4	0	0	0	0	3	22	0	0	13	0	0	0	0	6	0	3	0	0	2	0	1	0	9	0	0	0	0	20	0	0	0	2	0	0	0	1	52	41	8	1	0	39	1	0	4	26	1	0	3	0	2	0	1	7	3	0	0	0	0	29	0	0	0	1	0	0	0	7	1	0	45	0	0	0	0	0	16	0	0	3	0	0	152	0	0	32	75	37	0	0	0	0	0	5	0	0	0	0	0	80	5	0	0	5	13	3	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__HTCC2188; f__HTCC2089; g__; s__"
313	0	0	0	0	0	5	0	0	0	0	10	6	0	0	0	0	0	7	22	0	0	0	0	2	0	1	0	3	8	0	0	0	0	0	32	0	0	3	0	0	0	0	0	1	211	0	1	38	2	0	0	19	0	0	0	0	92	0	0	0	0	0	0	2	0	78	0	11	0	0	0	0	1	0	229	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7	0	1	5	7	0	0	2	0	0	0	0	0	3	43	15	0	2	0	0	0	0	0	0	0	0	0	100	3	2	0	0	28	7	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__"
320	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0	0	3	1	0	4	4	0	0	0	0	0	1	0	0	19	0	1	2	0	0	0	0	0	0	0	8	0	11	0	2	12	12	0	21	0	7	3	0	0	2	1	0	3	0	39	0	11	0	2	6	0	10	14	0	1	50	0	2	0	0	1	0	0	22	0	0	1	0	0	0	0	0	6	0	17	0	0	13	1	3	9	0	1	33	0	1	128	2	5	0	8	0	24	103	59	14	0	13	1	0	16	0	2	8	0	0	0	12	4	12	0	0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__"
323	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	3	0	10	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	4	0	0	198	0	0	0	0	0	0	0	0	0	2	0	90	0	4	0	4	0	1	94	3	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	2	0	4	0	0	0	0	0	0	0	75	0	0	0	0	0	0	1	0	0	2	3	0	0	8	0	0	1	0	0	48	6	0	2	5	0	2	3	0	0	1	2	1	2	2	4	0	2	10	0	7	0	0	0	0	0	4	0	1	"k__Bacteria; p__Chloroflexi; c__SL56; o__; f__; g__; s__"
