Nodes	12.07.2006.2b	02.07.2008	12.07.2009.1b	08.08.2009.2b	22.08.2009.1	12.09.2006.2b	05.07.2011.2	17.10.2012.2	18.08.2008.2d	25.07.2009.b	14.08.2012.1	02.09.2009.2	04.08.2008.4b	02.06.2008	15.07.2008	16.06.10.1	12.07.2006.1b	19.10.10.2	17.09.2012.2	24.04.12.1	16.06.10.2	25.07.06.1	27.08.13.2	16.09.10.1	27.10.08.2	15.08.2006.1a	23.10.13.2	26.09.2006.1b	12.10.11.2	01.06.08.1	23.09.2009.1	05.07.10.1	27.08.13.1	19.09.07.2	10.08.10.1	17.09.13.2	16.09.09.2	12.10.11.1	27.10.08.1	03.07.13.1	12.06.11.1	12.07.10.2	19.07.11.1	17.09.13.1	22.08.10.1	12.07.10.1	16.09.10.2	23.08.11.2	29.08.08.2	23.09.2009.2	15.05.11.1	23.08.11.1	07.06.12.2	05.05.10.1	05.05.10.2	26.09.07.2	12.09.11.1	23.10.13.1	05.06.13.2	07.06.12.1	16.08.13.2	06.07.07.2	05.06.13.1	29.08.08.1	16.08.13.1	10.08.10.2	22.08.07.2	05.09.06.1	02.08.07.1	27.06.06.1	07.10.08.6b	10.10.07.1	22.08.06.1	05.09.07.2	12.09.11.2	27.06.06.2	19.10.10.1	26.09.07.1	09.05.07.1	22.08.07.1	16.10.2006.2b	19.09.07.1	02.08.07.2	04.08.2008.2b	22.08.2009.p1	02.09.09.1	21.06.2011.2	15.10.09.p2	03.09.08.2b	25.06.2008.a	26.07.10.1	06.07.07.1	09.08.11.1	20.07.2012.2	29.07.2009.2d	13.06.2006.2c	19.07.11.2	20.05.2009.1	16.09.09.1	07.10.2008.5b	22.05.08.1	15.08.2006.2a	15.10.2009.1	29.08.07.2	09.08.11.2	17.09.2008.3b	21.06.2011.1	15.07.2008.2	02.08.2006.1b	19.06.2009.1	01.06.2008	18.08.2008.4d	08.07.2009.2	03.07.13.2	08.08.2009.p2	12.09.2006.1a	05.09.06.2	09.05.07.2	22.08.06.2	17.10.2012.1	20.05.2009.2	25.06.2008.b	05.09.07.1	13.06.2006.1c	28.07.2008.3d	08.07.2009.1	12.07.2009.2b	25.07.2009.p2	14.08.2012.2	20.07.2012.1	10.10.06.1	19.06.2009.2	05.07.2011.1	17.09.2008.1d	02.08.2006.2b	taxa
2192	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	12	0	25	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	15	0	0	88	0	0	0	0	0	0	0	0	28	0	0	14	3	1	0	22	23	0	0	0	19	0	0	0	0	0	0	1	0	0	39	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	23	0	34	0	0	0	0	0	0	0	0	0	0	0	108	35	0	23	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__Saprospira; s__"
2193	0	0	0	0	1	6	0	1	3	1	4	4	23	0	1	2	0	6	18	0	8	0	5	0	8	1	7	5	0	0	0	7	10	25	5	0	2	1	1	0	3	9	6	0	9	9	1	8	1	0	0	10	1	0	0	37	7	6	5	1	5	89	2	1	44	12	1	1	24	12	18	18	3	8	3	21	6	42	0	9	2	31	85	207	1	2	9	8	17	15	7	207	0	74	1	0	9	27	1	24	0	5	0	1	2	67	5	1	248	55	0	28	0	4	95	54	1	0	11	2	2	11	3	2	2	103	0	0	1	104	4	24	10	132	670	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__Saprospira; s__"
2194	0	1	0	0	2	6	3	25	1	3	27	1	41	0	0	1	0	0	7	0	3	0	4	0	34	13	6	18	5	0	0	1	22	32	4	8	0	21	3	0	2	5	7	9	29	6	2	10	6	0	0	17	1	19	22	24	36	3	6	0	9	39	5	4	27	15	25	1	21	12	53	13	53	43	49	12	0	20	2	27	0	39	26	57	2	0	47	43	41	98	6	90	1	4	0	2	19	111	0	80	0	49	7	9	1	97	46	2	116	346	0	15	0	4	63	92	2	0	105	19	5	88	39	2	0	59	3	8	36	3	31	21	56	153	413	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__Saprospira; s__"
2196	0	0	0	0	0	0	0	0	1	0	4	1	1	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	2	0	17	6	0	0	1	1	0	1	0	0	0	1	9	0	0	0	2	27	0	0	2	10	29	1	3	0	2	1	4	41	18	0	0	1	0	45	0	6	7	20	1	1	1	6	6	0	62	24	0	5	0	0	4	0	0	4	0	5	0	1	0	183	2	0	25	0	0	0	0	0	1	6	1	0	10	0	0	0	25	0	0	0	0	0	14	4	0	0	4	299	139	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__Saprospira; s__"
2203	0	0	0	0	0	2	0	9	0	1	0	5	0	7	3	7	11	77	1	12	14	2	3	23	24	6	11	8	25	9	16	1	4	28	5	13	20	37	40	8	26	0	3	10	0	0	72	4	66	20	59	3	9	46	54	42	37	14	18	13	2	33	28	85	6	5	19	25	1	37	7	48	70	26	39	66	75	29	46	20	82	38	2	0	5	45	31	143	20	12	0	50	0	0	0	101	11	58	43	21	26	9	97	122	0	58	27	11	4	97	40	14	19	17	21	34	57	96	78	60	47	22	48	244	15	3	18	7	1	0	245	2	77	90	7	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__"
2205	2	1	4	1	1	7	12	57	0	8	0	63	0	38	10	55	42	266	5	141	66	9	8	83	160	3	35	25	176	89	87	21	19	72	11	40	78	217	211	84	210	0	29	38	2	1	185	17	188	102	581	11	148	227	366	79	307	40	177	155	87	96	232	213	38	31	62	64	6	147	107	126	154	94	266	206	341	137	677	65	301	133	6	13	72	302	137	639	127	91	0	130	2	7	2	560	101	370	323	136	274	22	460	380	0	253	92	87	8	656	361	82	200	266	333	72	162	1055	231	498	483	196	161	1178	48	33	218	32	2	1	789	22	300	465	37	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__"
2209	0	3	1	3	3	9	9	48	8	7	1	86	3	35	74	57	6	25	68	26	70	10	22	18	102	40	129	48	56	41	128	42	41	99	69	80	153	46	207	107	20	20	22	47	5	35	26	228	380	247	25	133	139	5	7	96	107	151	168	155	113	138	273	458	144	90	90	75	71	30	326	118	394	123	99	33	39	141	28	80	631	185	90	123	92	665	18	655	486	60	19	137	12	95	14	291	63	160	646	409	51	114	787	797	5	159	24	473	13	310	119	273	219	246	390	164	187	81	669	481	429	112	324	578	363	110	181	31	88	40	1058	127	336	460	65	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__"
2234	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	27	0	31	0	0	0	0	2	0	0	0	16	5	0	0	0	0	0	1	0	11	0	0	35	0	0	0	0	0	0	0	0	0	141	0	7	12	22	0	8	1	6	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	43	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	16	0	27	0	1	14	0	1	0	0	0	6	0	0	33	7	0	1	1	0	0	1	80	0	3	2	1	0	37	0	0	1	0	0	0	1	0	2	0	0	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__"
2280	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	30	0	0	8	0	0	0	0	0	0	1	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	1	4	"k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Dolichospermum; s__"
2281	1	0	0	1	1	0	1	0	3	0	0	3	34	0	26	0	50	1	0	0	0	7	0	7	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	8	0	0	0	0	55	2	0	0	0	0	0	0	86	0	0	1	0	5	0	0	0	4	0	143	0	10	0	1	14	0	0	0	0	9	4	2	0	66	0	0	81	3	0	5	0	1	0	0	0	1	0	0	69	125	0	1	0	0	0	1	0	40	35	255	"k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Dolichospermum; s__"
2282	0	0	1	0	7	0	2	1	167	0	2922	25	13	0	0	0	0	7	872	2	2	5	532	19	2	14	2	10	18	0	4	0	4447	2	88	2663	18	8	0	0	0	1	146	4513	6	0	37	304	1	0	1	115	0	1	0	1	279	2	1	0	92	1	0	0	1010	52	1	1	0	1	7	1	1	3	949	2	13	2	0	0	0	0	0	61	3	28	3	0	1	0	3	0	18584	0	16	0	528	0	7	7	0	21	0	1	20722	3	16	1	556	0	0	560	0	2	4	10	3	0	1	4	0	0	4	0	16	0	1	14	14955	744	3	0	41	69	1124	"k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Dolichospermum; s__"
2283	0	0	0	0	0	0	0	0	3	0	19	0	0	0	0	0	0	0	3	0	0	1	6	0	0	0	0	0	0	0	0	0	81	0	0	22	0	0	0	0	0	0	0	65	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	25	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	2	0	1	0	0	0	0	0	0	0	613	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	45	1	0	0	0	1	19	"k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Dolichospermum; s__"
2284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1610	0	0	0	0	619	"k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__; s__"
2285	0	0	0	0	0	0	0	0	1	0	56	0	0	0	0	0	0	0	7	0	0	0	15	0	0	0	0	0	0	0	0	0	226	0	1	74	0	0	0	0	0	0	2	187	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	52	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	812	0	1	0	7	0	0	0	0	0	0	0	1490	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	196	2	0	0	0	0	28	"k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Dolichospermum; s__"
2287	0	0	0	0	0	4	0	0	9	0	1	1	0	0	0	0	1	0	43	0	0	0	0	0	1	1	0	8	0	0	5	0	0	4	5	0	48	0	0	0	0	0	6	0	0	0	1	25	1	1	0	19	0	0	0	0	36	0	0	0	0	0	0	0	0	1	1	8	0	1	12	0	0	1	81	2	0	4	0	0	0	0	0	0	3	1	0	0	20	0	0	0	32	0	0	0	23	0	8	15	0	10	0	0	19	103	0	0	6	0	0	16	0	0	0	47	22	0	0	0	0	0	0	0	2	0	0	0	102	0	0	0	2	415	6	"k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Dolichospermum; s__"
2292	0	0	0	0	0	0	0	0	2	0	54	0	0	0	0	0	0	0	2	0	0	0	7	0	0	3	0	0	0	1	0	0	150	0	1	53	3	0	0	0	0	0	1	149	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	11	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	776	0	1	0	6	0	1	0	0	2	0	0	1528	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	1	0	0	0	1	25	"k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Dolichospermum; s__"
2326	2	1	0	1	1	9	4	0	21	0	0	0	2	0	4	1	7	0	27	2	3	7	1	0	0	27	0	39	2	0	2	7	4	2	22	0	0	8	0	8	0	121	25	0	19	73	5	25	16	0	0	56	7	0	1	2	54	0	0	5	12	147	0	29	64	69	1	25	47	169	101	1	37	1	95	147	1	2	0	2	1	0	82	42	30	0	5	0	13	5	10	144	1	190	2	1	66	0	5	90	1	90	0	34	1	15	3	26	27	0	2	433	19	51	73	67	45	0	122	0	9	344	1	6	14	161	23	3	7	142	3	79	74	20	126	Unassigned
2336	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	86	0	0	0	116	0	0	1	0	0	0	0	0	0	183	0	0	69	0	0	0	0	0	0	1	29	0	0	0	8	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	40	0	0	0	0	0	0	2	0	3	0	0	89	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	2	Unassigned
2390	3	3	0	0	1	2	0	0	1	0	0	3	0	0	0	0	20	0	8	0	0	2	0	0	0	3	0	2	5	0	0	1	1	6	35	0	1	19	0	0	0	1	4	0	1	1	0	8	5	0	0	5	0	0	0	4	68	0	0	0	0	14	1	5	2	88	9	30	16	10	4	9	12	10	62	8	0	8	0	3	0	14	8	2	9	6	0	0	3	16	0	23	3	0	0	0	18	1	0	12	0	2	0	12	0	26	1	0	14	3	0	27	16	0	115	31	37	0	20	0	48	14	2	0	2	0	43	7	10	0	5	1	46	70	27	"k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__"
2392	0	0	1	4	0	1	0	0	27	107	3	1	2	0	0	0	0	0	1	0	0	0	5	0	0	3	19	1	10	0	0	0	13	0	3	43	0	1	0	0	0	0	0	76	0	20	0	71	1	0	1	10	0	0	0	0	17	18	0	0	0	0	0	5	7	3	0	11	0	0	58	0	5	0	20	2	0	1	0	2	0	1	0	6	0	2	0	0	152	0	438	0	20	13	6	0	1	1	1	67	0	15	0	8	21	21	0	0	3	1	0	45	15	0	10	9	9	0	21	0	7	0	0	0	1	1	19	1092	18	70	1	0	0	138	12	"k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales"
2394	0	0	0	0	59	0	0	0	0	0	0	84	0	0	3	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	4	10	3	2	61	1	93	0	0	0	0	237	4	0	0	595	0	21	25	5	0	48	0	0	0	0	2	0	0	1	63	11	0	33	1	48	24	10	111	0	177	0	1	105	0	1	0	1	0	52	0	1	39	8	1621	371	0	1	174	0	35	0	21	23	6	0	7	1	251	216	0	2	0	53	7	1	0	2	9	0	0	184	0	0	35	0	25	0	18	0	3	0	455	0	239	0	1	0	78	11	0	0	0	28	48	"k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__"
2424	2	0	1	19	13	15	17	0	630	132	1456	80	3709	0	984	0	21	4	506	1	0	95	298	8	0	2482	4	5	18	1	742	0	2434	210	574	1197	2712	8	3	0	0	0	154	2934	17	3	21	150	51	91	1	44	0	0	1	917	136	1	0	0	100	0	0	56	692	156	34	138	2	24	561	36	15	228	656	3	9	388	0	0	0	21	0	11123	14	165	24	44	196	0	6	0	10648	40	6631	0	529	3	1795	776	0	5520	7	73	12139	48	42	20	2304	3	0	4208	441	1	860	309	255	0	99	6	277	0	796	2	7962	2	272	20183	7900	2109	0	10	506	145	5153	"k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Dolichospermum; s__"
2425	1	0	0	7	0	0	3	0	150	34	10	0	1138	0	24	0	6	0	2	0	0	17	18	0	0	4	0	0	0	0	0	0	57	0	63	47	0	0	0	0	0	0	4	30	4	0	0	5	0	0	0	2	0	0	0	0	3	0	0	0	13	0	0	0	22	16	1	0	0	4	3	0	0	8	13	0	0	1	0	0	0	0	0	3444	0	0	1	0	0	0	3	0	10	9	987	0	27	0	0	82	0	7	0	0	7	0	5	0	62	1	0	1182	125	0	151	0	0	0	2	0	71	1	26	0	1824	0	80	5882	200	82	0	2	101	0	248	"k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Dolichospermum; s__"
2427	0	0	0	1	1	160	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	4	2	0	18	0	57	0	0	160	0	10	0	0	1	44	0	0	0	0	0	2	5	0	0	0	45	4	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	14	1	0	11	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	112	0	2	0	46	0	0	0	0	30	1	7	159	0	0	0	20	0	0	0	1	0	1	3321	18	0	23	12	0	0	0	0	1	0	0	1	2	6	3	0	7	5	41	"k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae; g__Dolichospermum; s__"
2468	0	0	0	0	1	2	0	4	1	1	1	9	0	0	2	1	1	2	14	0	5	0	2	2	9	1	8	7	1	5	0	0	1	8	3	0	1	4	2	22	13	2	4	1	1	2	8	12	3	2	2	18	7	7	16	12	11	12	2	11	8	7	13	2	2	12	13	1	1	8	22	1	1	50	5	4	0	16	5	13	0	3	1	11	20	14	12	88	25	0	2	14	0	17	0	25	25	0	8	23	5	5	3	7	0	2	10	8	2	3	3	49	2	59	12	24	5	9	3	10	7	0	130	59	0	35	10	13	42	21	35	36	4	5	8	Unassigned
2477	0	0	0	0	0	4	0	3	3	0	17	0	4	0	0	0	0	0	175	0	0	0	0	1	0	2	0	5	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	2	7	1	96	17	0	0	66	0	0	0	1	11	0	0	0	0	0	0	17	0	1	1	5	0	0	27	0	45	0	16	0	0	3	0	2	1	1	2	4	0	1	0	1	47	0	161	0	4	4	1	0	0	0	3	30	0	10	3	22	1	8	0	0	2	0	0	15	0	0	0	16	19	0	76	23	0	0	6	0	1	0	0	0	78	114	17	0	0	12	3	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Candidatus Aquiluna; s__rubra"
2497	2	8	2	0	3	28	25	19	27	1	32	4	6	166	4	21	47	18	120	169	17	0	17	100	170	7	95	142	66	310	32	24	13	223	67	7	4	225	371	149	38	43	29	5	78	24	133	82	26	69	1	43	86	146	84	327	93	141	483	73	65	135	419	37	11	117	136	83	123	450	59	305	28	119	143	500	21	377	7	86	45	305	196	13	39	9	576	26	42	1034	26	215	5	34	2	345	29	128	8	49	170	43	59	22	2	300	860	34	46	90	908	88	27	503	24	196	200	18	43	81	91	1123	341	437	4	1928	47	12	208	418	45	1787	1213	892	159	"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__; s__"
2499	14	4	10	3	10	20	40	14	95	10	67	13	69	150	20	34	119	12	83	11	27	4	76	110	30	39	55	82	32	364	45	214	30	189	45	23	13	101	94	212	7	165	53	18	74	91	78	63	71	110	12	71	127	14	16	320	52	132	69	115	189	214	39	80	39	69	118	122	505	134	105	229	85	138	89	156	15	359	4	91	61	372	711	124	81	33	60	31	90	209	9	549	9	82	11	48	29	86	16	95	200	81	99	136	2	227	68	128	77	41	909	302	443	627	110	222	262	26	177	112	432	316	423	68	31	537	698	41	291	387	7	431	1306	718	389	"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__; s__"
2511	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	1	0	0	15	2	0	5	1	12	1	8	0	7	0	8	30	1	0	0	9	1	13	0	19	0	0	0	3	0	0	45	2	0	0	0	0	0	125	11	8	0	0	4	17	0	46	7	7	6	19	0	16	2	19	45	6	26	14	1	98	0	5	0	54	0	3	25	1	4	0	0	2	0	28	0	0	0	0	0	1	5	1	0	0	0	79	0	91	1	0	1	2	0	2	10	40	18	26	38	0	97	5	10	6	6	0	4	0	17	4	0	0	1	2	34	223	2	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"
2571	0	0	0	0	0	0	0	0	3	0	6	1	1	0	0	1	0	0	2	0	0	0	1	0	0	2	0	0	0	0	1	0	0	3	12	0	45	0	0	0	0	7	10	0	0	9	0	8	21	1	0	3	0	0	0	4	5	0	0	0	4	0	0	26	0	18	26	8	5	0	73	1	13	23	5	0	0	1	0	8	0	3	8	13	46	2	0	0	150	0	7	0	3	18	0	0	8	0	26	68	0	9	0	59	3	5	0	8	7	1	0	34	0	0	18	5	19	0	26	0	0	0	30	0	1	0	1	0	73	22	0	0	0	8	33	"k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__R4-41B; g__; s__"
2572	0	0	0	0	1	0	1	0	1	0	1	5	1	0	0	0	4	0	11	0	0	5	5	0	0	0	0	0	0	0	0	0	2	19	24	0	22	1	0	0	0	1	5	0	5	4	8	7	3	7	0	13	0	0	0	17	12	0	0	0	2	0	0	1	2	53	10	4	22	0	13	14	9	29	25	0	0	17	0	9	0	43	26	2	72	3	5	1	7	0	10	1	2	18	0	1	13	0	14	13	0	7	0	9	3	30	4	2	7	0	0	83	1	0	80	5	11	0	12	0	1	1	41	1	6	0	0	0	111	5	0	0	27	67	12	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__"
2576	0	0	0	1	0	3	1	0	1	0	0	1	1	0	1	0	8	0	9	1	0	7	0	0	3	6	0	2	24	0	0	0	0	2	0	0	0	22	2	2	0	1	3	1	0	0	0	5	40	0	2	7	0	0	1	1	46	1	0	0	25	0	0	46	4	3	3	20	5	38	12	2	99	4	89	22	0	0	0	7	1	1	2	1	3	0	3	0	9	1	0	0	1	17	1	1	8	1	1	8	0	18	0	75	0	13	3	0	41	0	1	26	1	0	1	13	36	1	92	2	0	0	3	1	1	0	1	0	1	5	4	0	48	11	52	"k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__[Bryobacteraceae]; g__; s__"
2578	0	0	0	2	0	0	0	0	5	11	0	1	8	0	2	0	0	2	0	0	0	0	2	0	0	9	4	0	0	0	3	0	6	21	0	11	5	0	0	0	1	0	7	7	15	1	1	2	0	1	0	1	0	0	0	30	3	15	0	0	0	0	0	3	2	3	0	5	0	0	2	2	3	7	1	0	3	27	0	0	1	8	0	31	4	1	0	0	4	0	190	1	5	13	136	0	11	1	2	2	0	13	0	1	4	10	0	0	36	1	1	7	3	0	10	15	5	0	14	2	1	0	6	1	95	0	5	106	0	63	0	0	4	17	55	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__"
2583	0	0	0	1	0	0	0	0	10	1	7	0	2	0	0	0	0	2	12	0	0	0	4	0	0	0	1	0	1	0	0	0	6	0	6	11	0	0	0	0	0	0	2	23	164	0	3	10	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	19	14	0	3	0	0	1	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	85	0	119	15	53	0	0	0	1	4	0	1	1	0	157	9	0	0	0	0	0	9	0	0	2	2	1	0	3	1	0	0	0	0	32	1	1	14	41	170	0	1	0	28	3	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__"
2600	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	4	0	0	0	19	0	0	0	0	0	1	0	0	0	8	1	10	0	0	0	0	0	0	3	7	0	3	0	0	13	4	0	0	22	0	0	0	0	51	0	0	0	6	0	0	3	1	57	34	15	30	1	11	0	5	7	41	0	0	0	0	5	0	4	39	17	15	0	0	0	12	0	1	0	1	7	0	0	13	0	0	8	0	2	0	1	1	27	0	0	17	0	0	8	0	0	8	6	11	0	4	0	0	1	2	0	4	0	0	1	58	6	0	0	33	26	30	"k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__"
2671	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	40	1	0	0	0	55	0	0	0	0	0	0	1	2	0	4	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	2	23	1	0	0	1	0	6	0	0	0	1	2	9	0	125	48	19	0	11	0	115	0	33	0	1	4	2	0	4	0	6	12	154	29	0	0	19	0	0	2	1	0	2	9	62	1	0	39	3	0	85	5	17	0	17	1	72	15	0	20	0	12	0	5	0	3	4	10	3	106	11	23	0	2	0	20	89	4	59	0	"k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__[Amoebophilaceae]; g__SC3-56; s__"
2703	0	0	0	1	4	3	0	0	23	0	7	12	5	0	0	0	0	0	167	0	0	12	149	0	0	73	0	1	0	0	38	0	247	9	1	168	85	0	0	0	0	0	550	120	55	0	0	33	37	7	0	90	0	0	0	69	11	1	0	0	34	0	1	47	228	8	5	3	0	0	51	0	299	1	44	0	0	76	0	19	0	14	0	125	16	27	0	0	26	0	0	0	1	0	0	0	869	0	163	159	0	201	0	56	3	44	0	0	139	0	0	448	0	0	116	77	9	0	336	1	0	0	0	0	0	0	1	0	533	0	1	0	0	60	478	"k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Candidatus Xiphinematobacter; s__"
2704	22	3	21	13	34	68	74	61	36	20	47	113	40	142	63	139	222	70	244	211	195	34	335	169	119	236	134	704	84	264	162	465	206	353	690	174	133	185	288	244	58	242	177	107	212	403	331	879	403	220	93	780	110	60	72	505	321	120	126	132	391	120	137	378	439	736	245	507	340	109	391	710	628	281	328	126	228	625	330	480	987	740	346	374	488	270	205	232	489	161	549	259	42	567	41	180	237	392	169	593	577	706	393	691	23	626	387	485	197	391	802	1083	561	687	788	1094	1136	615	520	548	692	281	540	293	902	1065	985	107	583	901	899	1315	2178	1432	619	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__"
