name,label,ccc.x,alpha.x,delta.x,replicates,Method,Draw,ccc.y,alpha.y,delta.y,r,ccc_hat,absolute_error,alpha_hat,delta_hat,selected_lambda,time
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.18,1000,0.1,0.001,10,1091,91,0.08319700090607225,0.0010000522345211022,30,9.9356476465861
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.19,1000,0.1,0.001,10,1280,280,0.06980168317217597,0.0010298997018753878,20,9.844360009829204
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.20,1000,0.1,0.001,10,1129,129,0.08718011039565321,0.0010109993460224848,80,10.141158016522725
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.21,1000,0.1,0.001,10,921,79,0.11522744363848718,0.0011077630803776862,30,10.026182738939921
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.22,1000,0.1,0.001,10,900,100,0.11939238719386105,0.001175050076043964,130,9.727250679334004
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.23,1000,0.1,0.001,10,1093,93,0.08550716327656609,0.001000830577767525,100,9.695641513665517
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.24,1000,0.1,0.001,10,1088,88,0.08888299348632654,0.001061743741436768,90,9.958445902665456
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.25,1000,0.1,0.001,10,933,67,0.12097343296207791,0.0011897676093090383,0,10.209268240133921
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.26,1000,0.1,0.001,10,1131,131,0.09138893928093374,0.0010384021380448396,90,9.885763438542684
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.27,1000,0.1,0.001,10,1116,116,0.08569796088927308,0.0011556861998640818,40,9.805985569953918
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.28,1000,0.1,0.001,10,718,282,0.18688582180356605,0.0013432144816684028,90,9.8820836186409
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.29,1000,0.1,0.001,10,1099,99,0.09151593091952333,9.938624035385727e-4,90,10.002975924809773
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.30,1000,0.1,0.001,10,930,70,0.11131662513151694,0.001077367400737903,0,10.010214571158091
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.31,1000,0.1,0.001,10,919,81,0.1127628244060867,0.001116333674496235,0,9.789735050996144
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.32,1000,0.1,0.001,10,1101,101,0.08705277578131004,0.0011769396498321262,0,9.921206335226694
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.33,1000,0.1,0.001,10,896,104,0.1163139260228405,0.001113826936489044,50,9.92290864388148
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.34,1000,0.1,0.001,10,924,76,0.11537540969369946,0.001091956412997478,80,9.869485545158387
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.35,1000,0.1,0.001,10,1088,88,0.09134690028124696,9.72125815073657e-4,10,9.845626489321392
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.36,1000,0.1,0.001,10,1101,101,0.08649604222870867,0.001022213939915665,90,9.95625423192978
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.37,1000,0.1,0.001,10,726,274,0.17488321534823875,0.001298258761255093,140,10.0112215479215
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.38,1000,0.1,0.001,10,710,290,0.16894375840571163,0.0011634520440550516,40,10.113613291581471
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.39,1000,0.1,0.001,10,926,74,0.11251254085925469,0.0010884503111937443,0,10.262069650491078
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.40,1000,0.1,0.001,10,1110,110,0.08674261986106972,0.0010090779923954472,100,10.006294020016988
fct-list/ccc_1000/eta_d5f3fa2c5fbb544e9b2f0935290bd005f580c727/replicates_10,"NB draws from true C = 1000, size = 0.1, prob = 0.001, replicates = 10)",1000,0.1,0.001,10,gof,r1.41,1000,0.1,0.001,10,909,91,0.10991372628686095,0.0010718081927012712,0,9.871537327766418
