method,ccc,alpha,delta,r,ccc_hat,absolute_error,alpha_hat,delta_hat,selected_lambda,time,sim_subset,draw,id,eta,alpha_delta_r
[0] MLE,1e3,0.1,1e-5,10,854,146,0.13005444014770295,8.312400668477638e-6,NA,593.4379999999992,1,5,5,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[3] GOF,1e3,0.1,0.001,10,1384,384,0.06770669999554,9.514606736195058e-4,0,8458.440000000002,1,1,1,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[3] GOF,1e3,0.1,0.001,10,1473,473,0.06293415248596525,9.842690628289747e-4,0,8409.653999999995,1,2,2,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[3] GOF,1e3,0.1,0.001,10,1342,342,0.06744892204068835,8.978340248726962e-4,20,8177.976999999999,1,3,3,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[3] GOF,1e3,0.1,0.001,10,1465,465,0.06437008431605985,9.32023967307172e-4,0,8349.415000000008,1,4,4,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[3] GOF,1e3,0.1,0.001,10,929,71,0.10989456060118105,0.0010737492112340777,0,8312.347999999998,1,5,5,"(1e-01, 1e-03)","((1e-01, 1e-03),10)"
[3] GOF,1e3,0.1,1e-5,10,1017,17,0.09263617487504207,6.471718645027446e-6,20,11966.592999999993,1,1,1,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[3] GOF,1e3,0.1,1e-5,10,1004,4,0.10303743729188249,6.444976135098829e-6,40,11728.282999999996,1,2,2,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[3] GOF,1e3,0.1,1e-5,10,846,154,0.13308773838678783,6.140658418742025e-6,80,11932.876999999993,1,3,3,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[3] GOF,1e3,0.1,1e-5,10,850,150,0.13796319908710367,6.370442762790403e-6,140,12141.755000000005,1,4,4,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[3] GOF,1e3,0.1,1e-5,10,996,4,0.09706036567125705,6.6351833465936235e-6,110,11711.377000000008,1,5,5,"(1e-01, 1e-05)","((1e-01, 1e-05),10)"
[0] MLE,1e3,0.1,0.001,14,958,42,0.1059966986957157,0.001063311581409709,NA,575.2850000000008,1,1,1,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
[0] MLE,1e3,0.1,0.001,14,842,158,0.12754993523491795,0.0011736097205928035,NA,567.4160000000011,1,2,2,"(1e-01, 1e-03)","((1e-01, 1e-03),14)"
